seed	replicate	model	normalized_gap_sum	log_normalized_gap_sum	candidates	fermat_tests	wraps	job_seconds
20260909	0	uniform_accepted	34.475428298874291	-15.325197280638458	17002	3596	0	0.058206500000000001
20260909	0	upward_scan	54.259346142512378	9.1255833880335189	16534	3429	0	0.051700792000000002
20260909	1	uniform_accepted	27.095869233387614	-23.929599062338749	12532	2563	0	0.035754458000000003
20260909	1	upward_scan	50.778100796934858	4.0635551997080812	15377	3194	0	0.043213792000000001
20260909	2	uniform_accepted	31.402036809918027	-23.713958959595406	13919	2948	0	0.042250791000000003
20260909	2	upward_scan	57.528805803869851	9.1715695648892428	16526	3443	0	0.044177833
20260909	3	uniform_accepted	46.086237643821853	-5.4870645079350302	14759	3083	0	0.040575832999999999
20260909	3	upward_scan	63.211855616214933	10.146194799455824	20055	4179	0	0.055449834000000003
20260909	4	uniform_accepted	45.934909233625717	-8.0397130431637507	17455	3495	0	0.042994375000000001
20260909	4	upward_scan	67.832053593508519	11.723124419304437	24194	5042	0	0.073145500000000002
20260909	5	uniform_accepted	33.246051106175528	-19.709922887785225	12772	2632	0	0.034208415999999998
20260909	5	upward_scan	54.172376152910587	6.9068857890584843	16505	3437	0	0.039541583999999998
20260909	6	uniform_accepted	30.474676527491312	-19.934911156127491	13190	2762	0	0.032769
20260909	6	upward_scan	64.716701501071597	9.16249169068446	20132	4196	0	0.058416124999999999
20260909	7	uniform_accepted	31.644115802893221	-22.01071564587145	15236	3202	0	0.043109459000000003
20260909	7	upward_scan	60.896329778534948	7.6322275675226212	17695	3687	0	0.044752667000000003
20260909	8	uniform_accepted	29.689354860353031	-23.230361300050397	12297	2561	0	0.031331958
20260909	8	upward_scan	57.266804541749728	9.6299896519565884	16712	3485	0	0.042502832999999997
20260909	9	uniform_accepted	35.597714096595354	-12.649833431499495	15062	3086	0	0.039930417000000003
20260909	9	upward_scan	63.85534272984048	14.872930471542888	20246	4219	0	0.052488332999999998
20260909	10	uniform_accepted	31.552169425118219	-15.994797005748588	13946	2882	0	0.035273625000000003
20260909	10	upward_scan	72.56337571542133	14.108127275447329	24614	5130	0	0.070758416000000005
20260909	11	uniform_accepted	31.787239411126645	-16.635457513838677	13409	2778	0	0.035891291999999998
20260909	11	upward_scan	78.16613924280837	21.888855559880923	22477	4689	0	0.057593584000000003
20260909	12	uniform_accepted	35.587664492435181	-20.810936907945816	17056	3544	0	0.044356917000000003
20260909	12	upward_scan	71.592125118814508	16.516916176804788	22168	4621	0	0.058789708000000003
20260909	13	uniform_accepted	34.439285157354348	-12.077404875499678	12321	2607	0	0.032635917
